fare_amount_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,11.0,0.5,0.5,3.05,0.0,0.3,15.35
2,54.5,0.5,0.5,8.0,0.0,0.3,63.8
3,31.5,0.0,0.5,3.78,5.54,0.3,41.62
4,98.0,0.0,0.0,0.0,15.5,0.3,113.8
5,23.5,1.0,0.5,5.06,0.0,0.3,30.36
6,23.0,0.5,0.5,0.0,0.0,0.3,24.3
7,20.5,0.5,0.5,0.0,0.0,0.3,21.8
8,5.5,0.5,0.5,2.0,0.0,0.3,8.8
9,23.5,0.5,0.5,3.2,0.0,0.3,28.0
10,4.0,0.5,0.5,0.0,0.0,0.3,5.3
11,8.0,0.5,0.5,0.0,0.0,0.3,9.3
12,5.5,0.5,0.5,2.2,0.0,0.3,9.0
13,9.0,0.5,0.5,2.06,0.0,0.3,12.36
14,27.0,0.5,0.5,5.66,0.0,0.3,33.96
15,8.5,0.5,0.5,2.0,0.0,0.3,11.8
16,11.0,0.5,0.5,0.0,0.0,0.3,12.3
17,8.0,0.5,0.5,1.86,0.0,0.3,11.16
18,52.0,0.0,0.5,8.0,5.54,0.3,66.34
19,4.5,0.5,0.5,1.15,0.0,0.3,6.95
20,5.5,0.5,0.5,0.0,0.0,0.3,6.8
21,28.5,0.5,0.5,0.0,0.0,0.3,29.8
22,4.5,0.5,0.5,1.16,0.0,0.3,6.96
23,4.0,0.5,0.5,0.0,0.0,0.3,5.3
24,17.0,0.5,0.5,4.58,0.0,0.3,22.88
25,13.0,0.5,0.5,0.0,0.0,0.3,14.3
26,31.0,0.5,0.5,6.46,0.0,0.3,38.76
27,8.5,0.5,0.5,1.96,0.0,0.3,11.76
28,52.0,0.0,0.5,13.2,0.0,0.3,66.0
29,5.0,0.5,0.5,1.0,0.0,0.3,7.3
30,33.5,0.5,0.5,0.0,0.0,0.3,34.8
31,16.0,0.5,0.5,0.0,0.0,0.3,17.3
32,11.0,0.5,0.5,2.46,0.0,0.3,14.76
33,9.0,0.5,0.5,2.05,0.0,0.3,12.35
34,10.5,0.5,0.5,2.35,0.0,0.3,14.15
35,5.5,0.5,0.5,0.0,0.0,0.3,6.8
36,13.5,0.5,0.5,2.95,0.0,0.3,17.75
37,7.5,0.5,0.5,0.0,0.0,0.3,8.8
38,31.0,0.5,0.5,8.05,0.0,0.3,40.35
39,5.5,0.5,0.5,1.36,0.0,0.3,8.16
40,4.5,0.5,0.5,0.0,0.0,0.3,5.8
41,22.5,0.5,0.5,0.0,0.0,0.3,23.8
42,15.5,0.5,0.5,2.0,0.0,0.3,18.8
43,12.0,0.5,0.5,0.0,0.0,0.3,13.3
44,13.0,0.5,0.5,2.85,0.0,0.3,17.15
45,11.0,0.5,0.5,0.0,0.0,0.3,12.3
46,5.5,0.5,0.5,1.0,0.0,0.3,7.8
47,6.0,0.5,0.5,1.46,0.0,0.3,8.76
48,11.0,0.5,0.5,2.45,0.0,0.3,14.75
49,20.5,0.5,0.5,4.36,0.0,0.3,26.16
50,11.5,0.5,0.5,3.2,0.0,0.3,16.0
51,9.5,0.5,0.5,1.7,0.0,0.3,12.5
52,23.5,0.5,0.5,1.0,0.0,0.3,25.8
53,17.5,0.5,0.5,0.0,0.0,0.3,18.8
54,13.0,0.5,0.5,1.0,0.0,0.3,15.3
55,9.0,0.5,0.5,0.0,0.0,0.3,10.3
56,4.5,0.5,0.5,0.0,0.0,0.3,5.8
57,7.5,0.5,0.5,2.2,0.0,0.3,11.0
58,15.0,0.5,0.5,4.89,0.0,0.3,21.19
59,8.5,0.5,0.5,2.45,0.0,0.3,12.25
60,15.0,0.5,0.5,3.26,0.0,0.3,19.56
61,14.0,0.5,0.5,3.0,0.0,0.3,18.3
62,26.5,0.5,0.5,4.0,0.0,0.3,31.8
63,4.0,0.5,0.5,0.0,0.0,0.3,5.3
64,52.0,0.0,0.5,6.66,5.54,0.3,65.0
65,32.5,0.5,0.5,11.8,5.54,0.3,51.14
66,9.5,0.5,0.5,0.0,0.0,0.3,10.8
67,15.5,0.5,0.5,2.0,0.0,0.3,18.8
68,9.0,0.5,0.5,1.0,0.0,0.3,11.3
69,34.5,0.5,0.5,0.0,0.0,0.3,35.8
70,5.5,0.5,0.5,1.0,0.0,0.3,7.8
71,22.5,0.5,0.5,4.75,0.0,0.3,28.55
72,7.5,0.5,0.5,1.75,0.0,0.3,10.55
73,19.0,0.5,0.5,4.06,0.0,0.3,24.36
74,16.5,0.5,0.5,2.0,0.0,0.3,19.8
75,5.0,0.5,0.5,1.25,0.0,0.3,7.55
76,15.0,0.5,0.5,0.0,0.0,0.3,16.3
77,27.5,0.5,0.5,0.0,0.0,0.3,28.8
78,6.5,0.5,0.5,1.56,0.0,0.3,9.36
79,29.0,0.5,0.5,6.06,0.0,0.3,36.36
80,9.5,0.5,0.5,0.0,0.0,0.3,10.8
81,6.0,0.5,0.5,1.46,0.0,0.3,8.76
82,7.5,0.5,0.5,0.0,0.0,0.3,8.8
83,8.0,0.5,0.5,2.3,0.0,0.3,11.6
84,7.0,0.5,0.5,1.65,0.0,0.3,9.95
85,6.0,0.5,0.5,0.0,0.0,0.3,7.3
86,5.0,0.5,0.5,1.26,0.0,0.3,7.56
87,21.5,0.5,0.5,2.0,5.54,0.3,30.34
88,17.5,0.5,0.5,0.0,0.0,0.3,18.8
89,6.0,0.5,0.5,0.0,0.0,0.3,7.3
90,4.5,0.5,0.5,1.0,0.0,0.3,6.8
91,10.0,0.5,0.5,2.26,0.0,0.3,13.56
92,10.5,0.5,0.5,1.0,0.0,0.3,12.8
93,10.5,0.5,0.5,2.0,0.0,0.3,13.8
94,6.0,0.5,0.5,0.0,0.0,0.3,7.3
95,6.5,0.5,0.5,1.0,0.0,0.3,8.8
96,8.5,0.5,0.5,2.94,0.0,0.3,12.74
97,12.0,0.5,0.5,2.0,0.0,0.3,15.3
98,15.5,0.5,0.5,0.0,0.0,0.3,16.8
99,9.5,0.5,0.5,1.0,0.0,0.3,11.8
100,11.5,0.5,0.5,2.0,0.0,0.3,14.8
101,5.5,0.5,0.5,0.0,0.0,0.3,6.8
102,12.0,0.5,0.5,2.66,0.0,0.3,15.96
103,15.0,0.5,0.5,3.26,0.0,0.3,19.56
104,17.0,0.5,0.5,3.1,0.0,0.3,21.4
105,4.5,0.5,0.5,0.0,0.0,0.3,5.8
106,6.5,0.5,0.5,1.55,0.0,0.3,9.35
107,29.0,0.5,0.5,6.05,0.0,0.3,36.35
108,4.0,0.5,0.5,0.0,0.0,0.3,5.3
109,7.0,0.5,0.5,0.0,0.0,0.3,8.3
110,10.5,0.5,0.5,0.0,0.0,0.3,11.8
111,7.0,0.5,0.5,1.0,0.0,0.3,9.3
112,17.5,0.5,0.5,3.76,0.0,0.3,22.56
113,7.5,0.5,0.5,2.64,0.0,0.3,11.44
114,11.5,0.5,0.5,2.56,0.0,0.3,15.36
115,4.0,0.5,0.5,0.0,0.0,0.3,5.3
116,12.0,0.5,0.5,3.32,0.0,0.3,16.62
117,12.5,0.5,0.5,4.1,0.0,0.3,17.9
118,4.5,0.5,0.5,2.0,0.0,0.3,7.8
119,7.0,0.5,0.5,0.0,0.0,0.3,8.3
120,6.0,0.5,0.5,0.0,0.0,0.3,7.3
121,17.5,0.5,0.5,0.0,0.0,0.3,18.8
122,14.0,0.5,0.5,2.0,0.0,0.3,17.3
123,7.0,0.5,0.5,1.66,0.0,0.3,9.96
124,9.0,0.5,0.5,3.05,0.0,0.3,13.35
125,5.0,0.5,0.5,4.0,0.0,0.3,10.3
126,20.0,0.5,0.5,0.0,0.0,0.3,21.3
127,6.5,0.5,0.5,1.95,0.0,0.3,9.75
128,12.5,0.5,0.5,2.76,0.0,0.3,16.56
129,58.34,0.0,0.5,0.0,0.0,0.3,59.14
130,8.0,0.5,0.5,1.86,0.0,0.3,11.16
131,52.0,0.0,0.5,0.0,0.0,0.3,52.8
132,5.5,0.5,0.5,1.36,0.0,0.3,8.16
133,13.0,0.5,0.5,1.0,0.0,0.3,15.3
134,8.0,0.5,0.5,2.32,0.0,0.3,11.62
135,52.0,0.0,0.5,0.0,5.54,0.3,58.34
136,11.0,0.5,0.5,3.07,0.0,0.3,15.37
137,13.0,0.5,0.5,1.0,0.0,0.3,15.3
138,14.0,0.5,0.5,0.0,0.0,0.3,15.3
139,3.0,0.5,0.5,0.0,0.0,0.3,4.3
140,12.0,0.5,0.5,3.32,0.0,0.3,16.62
141,24.5,0.5,0.5,5.16,0.0,0.3,30.96
142,11.5,0.5,0.5,2.55,0.0,0.3,15.35
143,33.0,0.5,0.5,5.0,0.0,0.3,39.3
144,5.5,0.5,0.5,1.36,0.0,0.3,8.16
145,27.5,0.5,0.5,0.0,0.0,0.3,28.8
146,4.5,0.5,0.5,1.15,0.0,0.3,6.95
147,4.0,0.5,0.5,2.0,0.0,0.3,7.3
148,52.0,0.0,0.5,7.0,0.0,0.3,59.8
149,5.0,0.5,0.5,2.0,0.0,0.3,8.3
150,7.0,0.5,0.5,1.66,0.0,0.3,9.96
151,4.5,0.5,0.5,1.16,0.0,0.3,6.96
152,10.5,0.5,0.5,2.95,0.0,0.3,14.75
153,23.5,0.5,0.5,6.2,0.0,0.3,31.0
154,7.0,0.5,0.5,1.65,0.0,0.3,9.95
155,3.5,0.5,0.5,0.96,0.0,0.3,5.76
156,31.5,0.5,0.5,7.67,5.54,0.3,46.01
157,3.5,0.5,0.5,0.96,0.0,0.3,5.76
158,27.0,0.5,0.5,1.7,0.0,0.3,30.0
159,11.5,0.5,0.5,2.56,0.0,0.3,15.36
160,7.5,0.5,0.5,0.0,0.0,0.3,8.8
161,13.0,0.5,0.5,0.0,0.0,0.3,14.3
162,5.0,0.5,0.5,1.25,0.0,0.3,7.55
163,6.0,0.5,0.5,1.45,0.0,0.3,8.75
164,7.0,0.5,0.5,1.66,0.0,0.3,9.96
165,9.5,0.5,0.5,3.24,0.0,0.3,14.04
166,10.5,0.5,0.5,0.0,0.0,0.3,11.8
167,7.0,0.5,0.5,1.66,0.0,0.3,9.96
168,18.0,0.5,0.5,4.82,0.0,0.3,24.12
169,9.5,0.5,0.5,1.5,0.0,0.3,12.3
170,52.0,0.0,0.5,10.55,0.0,0.3,63.35
171,12.5,0.5,0.5,2.75,0.0,0.3,16.55
172,12.5,0.5,0.5,3.45,0.0,0.3,17.25
173,6.0,0.0,0.5,1.36,0.0,0.3,8.16
174,13.0,0.0,0.5,1.5,0.0,0.3,15.3
175,8.5,0.0,0.5,1.86,0.0,0.3,11.16
176,15.5,0.0,0.5,0.0,0.0,0.3,16.3
177,33.0,0.0,0.5,0.0,0.0,0.3,33.8
178,7.0,0.0,0.5,1.95,0.0,0.3,9.75
179,6.5,0.0,0.5,0.0,0.0,0.3,7.3
180,9.0,0.0,0.5,2.0,0.0,0.3,11.8
181,5.0,0.0,0.5,1.45,0.0,0.3,7.25
182,5.5,0.0,0.5,1.26,0.0,0.3,7.56
183,11.5,0.0,0.5,3.08,0.0,0.3,15.38
184,9.5,0.0,0.5,0.0,0.0,0.3,10.3
185,3.5,0.0,0.5,0.0,0.0,0.3,4.3
186,5.5,0.0,0.5,1.26,0.0,0.3,7.56
187,6.0,0.0,0.5,1.7,0.0,0.3,8.5
188,6.0,0.0,0.5,1.36,0.0,0.3,8.16
189,18.5,0.0,0.5,4.82,0.0,0.3,24.12
190,16.0,0.0,0.5,2.0,0.0,0.3,18.8
191,22.0,0.0,0.5,4.56,0.0,0.3,27.36
192,5.0,0.0,0.5,1.0,0.0,0.3,6.8
193,7.5,0.0,0.5,1.66,0.0,0.3,9.96
194,8.5,0.0,0.5,1.86,0.0,0.3,11.16
195,8.0,0.0,0.5,1.76,0.0,0.3,10.56
196,9.5,0.0,0.5,2.06,0.0,0.3,12.36
197,11.0,0.0,0.5,1.5,0.0,0.3,13.3
198,14.0,0.0,0.5,0.0,0.0,0.3,14.8
199,6.0,0.0,0.5,1.36,0.0,0.3,8.16
200,7.0,0.0,0.5,0.0,0.0,0.3,7.8
201,6.5,0.0,0.5,1.82,0.0,0.3,9.12
202,7.5,0.0,0.5,2.08,0.0,0.3,10.38
203,7.5,0.0,0.5,2.49,0.0,0.3,10.79
204,4.5,0.0,0.5,0.0,0.0,0.3,5.3
205,19.5,0.0,0.5,0.0,0.0,0.3,20.3
206,6.0,0.0,0.5,0.0,0.0,0.3,6.8
207,6.0,0.0,0.5,1.36,0.0,0.3,8.16
208,11.5,0.0,0.5,0.0,0.0,0.3,12.3
209,11.5,0.0,0.5,2.46,0.0,0.3,14.76
