payment_type_id,payment_type,payment_type_name
0,1,Credit Card
1,1,Credit Card
2,1,Credit Card
3,1,Credit Card
4,1,Credit Card
5,1,Credit Card
6,2,Cash
7,3,No Charge
8,1,Credit Card
9,1,Credit Card
10,2,Cash
11,2,Cash
12,1,Credit Card
13,1,Credit Card
14,1,Credit Card
15,1,Credit Card
16,2,Cash
17,1,Credit Card
18,1,Credit Card
19,1,Credit Card
20,2,Cash
21,2,Cash
22,1,Credit Card
23,2,Cash
24,1,Credit Card
25,2,Cash
26,1,Credit Card
27,1,Credit Card
28,1,Credit Card
29,1,Credit Card
30,2,Cash
31,2,Cash
32,1,Credit Card
33,1,Credit Card
34,1,Credit Card
35,2,Cash
36,1,Credit Card
37,1,Credit Card
38,1,Credit Card
39,1,Credit Card
40,2,Cash
41,2,Cash
42,1,Credit Card
43,2,Cash
44,1,Credit Card
45,2,Cash
46,1,Credit Card
47,1,Credit Card
48,1,Credit Card
49,1,Credit Card
50,1,Credit Card
51,1,Credit Card
52,1,Credit Card
53,2,Cash
54,1,Credit Card
55,2,Cash
56,2,Cash
57,1,Credit Card
58,1,Credit Card
59,1,Credit Card
60,1,Credit Card
61,1,Credit Card
62,1,Credit Card
63,2,Cash
64,1,Credit Card
65,1,Credit Card
66,2,Cash
67,1,Credit Card
68,1,Credit Card
69,1,Credit Card
70,1,Credit Card
71,1,Credit Card
72,1,Credit Card
73,1,Credit Card
74,1,Credit Card
75,1,Credit Card
76,2,Cash
77,2,Cash
78,1,Credit Card
79,1,Credit Card
80,2,Cash
81,1,Credit Card
82,2,Cash
83,1,Credit Card
84,1,Credit Card
85,1,Credit Card
86,1,Credit Card
87,1,Credit Card
88,2,Cash
89,2,Cash
90,1,Credit Card
91,1,Credit Card
92,1,Credit Card
93,1,Credit Card
94,2,Cash
95,1,Credit Card
96,1,Credit Card
97,1,Credit Card
98,2,Cash
99,1,Credit Card
100,1,Credit Card
101,2,Cash
102,1,Credit Card
103,1,Credit Card
104,1,Credit Card
105,1,Credit Card
106,1,Credit Card
107,1,Credit Card
108,2,Cash
109,3,No Charge
110,2,Cash
111,1,Credit Card
112,1,Credit Card
113,1,Credit Card
114,1,Credit Card
115,2,Cash
116,1,Credit Card
117,1,Credit Card
118,1,Credit Card
119,2,Cash
120,2,Cash
121,2,Cash
122,1,Credit Card
123,1,Credit Card
124,1,Credit Card
125,1,Credit Card
126,2,Cash
127,1,Credit Card
128,1,Credit Card
129,2,Cash
130,1,Credit Card
131,2,Cash
132,1,Credit Card
133,1,Credit Card
134,1,Credit Card
135,2,Cash
136,1,Credit Card
137,1,Credit Card
138,2,Cash
139,2,Cash
140,1,Credit Card
141,1,Credit Card
142,1,Credit Card
143,1,Credit Card
